Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
Luke Harangody,2011,2012,F,6-8,246,"January 2, 1988",University of Notre Dame
Luke Jackson,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon
Luke Kennard,2018,2019,G,6-5,206,"June 24, 1996",Duke University
Luke Kornet,2018,2019,F,7-1,250,"July 15, 1995",Vanderbilt University
Luke Ridnour,2004,2015,G,6-2,175,"February 13, 1981",University of Oregon
Luke Schenscher,2006,2007,C,7-1,255,"December 31, 1982",Georgia Institute of Technology
Luke Walton,2004,2013,F,6-8,235,"March 28, 1980",University of Arizona
Luke Zeller,2013,2013,C,6-11,245,"April 7, 1987",University of Notre Dame
Luol Deng,2005,2019,F,6-9,237,"April 16, 1985",Duke University
Luther Head,2006,2011,G,6-3,185,"November 26, 1982",University of Illinois at Urbana-Champaign
Luther Wright,1994,1994,C,7-2,270,"September 22, 1971",Seton Hall University
Lynn Greer,2007,2007,G,6-2,175,"October 23, 1979",Temple University
Maalik Wayns,2013,2014,G,6-2,200,"May 2, 1991",Villanova University
Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan
Maciej Lampe,2004,2006,C,6-11,275,"February 5, 1985",
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University
Makhtar N'Diaye,1999,1999,F,6-8,245,"December 12, 1973","University of Michigan, University of North Carolina"
Malachi Richardson,2017,2019,G,6-6,205,"January 5, 1996",Syracuse University
Malcolm Brogdon,2017,2019,G,6-5,229,"December 11, 1992",University of Virginia
Malcolm Delaney,2017,2018,G,6-3,190,"March 11, 1989",Virginia Polytechnic Institute and State University
Malcolm Lee,2012,2015,G,6-5,200,"May 22, 1990","University of California, Los Angeles"
Malcolm Mackey,1994,1994,F-C,6-9,248,"July 11, 1970",Georgia Institute of Technology
Malcolm Miller,2018,2019,F,6-7,210,"March 6, 1993",College of the Holy Cross
Malcolm Thomas,2012,2015,F,6-9,225,"November 8, 1988","Pepperdine University, San Diego State University"
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University
Malik Beasley,2017,2019,G,6-5,195,"November 26, 1996",Florida State University
Malik Hairston,2009,2010,G,6-6,220,"February 23, 1987",University of Oregon
Malik Monk,2018,2019,G,6-3,200,"February 4, 1998",University of Kentucky
Malik Rose,1997,2009,F,6-7,250,"November 23, 1974",Drexel University
Malik Sealy,1993,2000,G,6-8,190,"February 1, 1970",St. John's University
Mamadou N'Diaye,2001,2005,C,7-0,255,"June 16, 1975",Auburn University
Mangok Mathiang,2018,2018,C-F,6-10,230,"October 8, 1992",University of Louisville
Manny Harris,2011,2017,G,6-5,185,"September 21, 1989",University of Michigan
Manu Ginobili,2003,2018,G,6-6,205,"July 28, 1977",
Manute Bol,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport
MarShon Brooks,2012,2019,G-F,6-5,200,"January 26, 1989",Providence College
Marc Gasol,2009,2019,C,7-1,255,"January 29, 1985",
Marc Iavaroni,1983,1989,F,6-8,210,"September 15, 1956",University of Virginia
Marc Jackson,2001,2007,C,6-10,270,"January 16, 1975","Virginia Commonwealth University, Temple University"
Marcelo Huertas,2016,2017,G,6-3,200,"May 25, 1983",
Marcin Gortat,2008,2019,C-F,6-11,240,"February 17, 1984",
Marco Belinelli,2008,2019,G-F,6-5,210,"March 25, 1986",
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas"
Marcus Brown,1997,2000,G,6-3,185,"April 3, 1974",Murray State University
Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",University of Massachusetts Amherst
Marcus Cousin,2011,2011,C,6-11,245,"December 18, 1986","Seton Hall University, University of Houston"
Marcus Derrickson,2019,2019,F,6-7,249,"February 1, 1996",Georgetown University
Marcus Fizer,2001,2006,F,6-9,262,"August 10, 1978",Iowa State University
Marcus Georges-Hunt,2017,2018,G,6-5,216,"March 28, 1994",Georgia Institute of Technology
Marcus Haislip,2003,2010,F,6-10,230,"December 22, 1980",University of Tennessee
Marcus Landry,2010,2010,F,6-7,230,"November 1, 1985",University of Wisconsin
Marcus Liberty,1991,1994,F,6-8,205,"October 27, 1968",University of Illinois at Urbana-Champaign
Marcus Morris,2012,2019,F,6-9,235,"September 2, 1989",University of Kansas
Marcus Paige,2018,2018,G,6-1,175,"September 11, 1993",University of North Carolina
Marcus Smart,2015,2019,G,6-4,220,"March 6, 1994",Oklahoma State University
Marcus Thornton,2010,2017,G,6-4,205,"June 5, 1987",Louisiana State University
Marcus Vinicius,2007,2008,F,6-8,225,"May 31, 1984",
Marcus Webb,1993,1993,F-C,6-9,255,"May 9, 1970",University of Alabama
Marcus Williams,2007,2010,G,6-3,205,"December 3, 1985",University of Connecticut
Marcus Williams,2008,2009,F,6-7,205,"November 18, 1986",University of Arizona
Mardy Collins,2007,2010,G,6-6,220,"August 4, 1984",Temple University
Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University
Mario Chalmers,2009,2018,G,6-2,190,"May 19, 1986",University of Kansas
Mario Elie,1991,2001,G-F,6-5,210,"November 26, 1963",American International College
Mario Hezonja,2016,2019,F-G,6-8,225,"February 25, 1995",
Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
Mario West,2008,2011,G,6-5,210,"June 19, 1984",Georgia Institute of Technology
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University
Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh
Mark Bradtke,1997,1997,C-F,6-10,265,"September 27, 1968",
Mark Bryant,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall University
Mark Davis,1996,2000,G-F,6-7,210,"April 26, 1973","Howard College, Texas Tech University"
Mark Davis,1989,1989,F-G,6-6,195,"June 8, 1963",Old Dominion University
Mark Eaton,1983,1993,C,7-4,275,"January 24, 1957","University of California, Los Angeles"
Mark Hendrickson,1997,2000,F,6-9,220,"June 23, 1974",Washington State University
Mark Jackson,1988,2004,G,6-1,180,"April 1, 1965",St. John's University
Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","University of Minnesota, University of Central Florida"
Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure University
Mark Macon,1992,1999,G,6-5,185,"April 14, 1969",Temple University
Mark Madsen,2001,2009,F,6-9,240,"January 28, 1976",Stanford University
Mark McNamara,1983,1991,C-F,6-11,235,"June 8, 1959","Santa Clara University, University of California"
Mark Pope,1998,2005,F,6-10,235,"September 11, 1972","University of Washington, University of Kentucky"
Mark Price,1987,1998,G,6-0,170,"February 15, 1964",Georgia Institute of Technology
Mark Radford,1982,1983,G,6-4,190,"July 5, 1959",Oregon State University
Mark Randall,1992,1995,F,6-8,235,"September 30, 1967",University of Kansas
Mark Strickland,1995,2003,F,6-9,210,"July 14, 1970",Temple University
Mark Wade,1988,1990,G,5-11,160,"October 15, 1965","University of Oklahoma, University of Nevada, Las Vegas"
Mark West,1984,2000,C-F,6-10,230,"November 5, 1960",Old Dominion University
Markel Brown,2015,2018,G,6-3,190,"January 29, 1992",Oklahoma State University
Markelle Fultz,2018,2019,G,6-4,200,"May 29, 1998",University of Washington
Markieff Morris,2012,2019,F,6-10,245,"September 2, 1989",University of Kansas
Marko Jaric,2003,2009,G,6-7,198,"October 12, 1978",
Marko Milic,1998,1999,G-F,6-6,235,"May 7, 1977",
Marlon Garnett,1999,1999,G,6-2,186,"July 3, 1975",Santa Clara University
Marlon Maxey,1993,1994,F,6-8,250,"February 19, 1969","University of Minnesota, University of Texas at El Paso"
Marques Bragg,1996,1996,F,6-8,230,"March 24, 1970",Providence College
Marquese Chriss,2017,2019,F,6-10,240,"July 2, 1997",University of Washington
Marquis Daniels,2004,2013,G-F,6-6,200,"January 7, 1981",Auburn University
Marquis Teague,2013,2018,G,6-2,189,"February 28, 1993",University of Kentucky
Marreese Speights,2009,2018,C-F,6-10,255,"August 4, 1987",University of Florida
Marshall Plumlee,2017,2018,C,7-0,250,"July 14, 1992",Duke University
Martell Webster,2006,2015,G-F,6-7,230,"December 4, 1986",
Martin Lewis,1996,1997,F,6-5,210,"April 28, 1975","Butler County Community College, Seward County Community College"
Martin Muursepp,1997,1998,F,6-9,235,"September 26, 1974",
Martin Nessley,1988,1988,C,7-2,260,"February 16, 1965",Duke University
Marty Conlon,1992,2000,F-C,6-10,224,"January 19, 1968",Providence College
Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",
Marvin Bagley,2019,2019,F,6-11,234,"March 14, 1999",Duke University
Marvin Williams,2006,2019,F,6-9,237,"June 19, 1986",University of North Carolina
Mason Plumlee,2014,2019,C-F,6-11,235,"March 5, 1990",Duke University
Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State University
Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles"
Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",University of Florida
Matt Bullard,1991,2002,F,6-10,215,"June 5, 1967","University of Colorado, University of Iowa"
Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",University of Notre Dame
Matt Costello,2018,2018,F,6-9,245,"August 5, 1993",Michigan State University
Matt Fish,1995,1997,C,6-11,235,"November 18, 1969",University of North Carolina at Wilmington
Matt Freije,2005,2007,F,6-10,240,"October 2, 1981",Vanderbilt University
Matt Geiger,1993,2002,C,7-0,243,"September 10, 1969","Auburn University, Georgia Institute of Technology"
Matt Harpring,1999,2009,F,6-7,231,"May 31, 1976",Georgia Institute of Technology
Matt Maloney,1997,2003,G,6-3,192,"December 6, 1971","Vanderbilt University, University of Pennsylvania"
Matt Othick,1993,1993,G,6-2,165,"March 16, 1969",University of Arizona
Matt Steigenga,1997,1997,F,6-7,225,"March 27, 1970",Michigan State University
Matt Walsh,2006,2006,G-F,6-6,205,"December 2, 1982",University of Florida
Matt Wenstrom,1994,1994,C,7-1,250,"November 4, 1970",University of North Carolina
Matt Williams,2018,2018,G,6-5,210,"October 14, 1993",University of Central Florida
Matthew Dellavedova,2014,2019,G,6-4,200,"September 8, 1990",Saint Mary's College of California
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University
Maurice Carter,2004,2004,G,6-5,210,"October 12, 1976",Louisiana State University
Maurice Evans,2002,2012,G,6-5,220,"November 8, 1978","Wichita State University, University of Texas at Austin"
Maurice Harkless,2013,2019,F-G,6-9,220,"May 11, 1993",St. John's University
Maurice Martin,1987,1988,F-G,6-6,200,"July 2, 1964",Saint Joseph's University
Maurice Ndour,2017,2017,F,6-9,200,"June 18, 1992",Ohio University
Maurice Taylor,1998,2007,F,6-9,260,"October 30, 1976",University of Michigan
Maxi Kleber,2018,2019,F,6-11,240,"January 29, 1992",
McKinley Singleton,1987,1987,G,6-5,175,"October 29, 1961",University of Alabama at Birmingham
Mehmet Okur,2003,2012,C-F,6-11,249,"May 26, 1979",
Mel McCants,1990,1990,F,6-8,240,"August 19, 1967",Purdue University
Melvin Booker,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri
Melvin Ely,2003,2014,C,6-10,260,"May 2, 1978","California State University, Fresno"
Melvin Frazier,2019,2019,G,6-6,200,"August 30, 1996",Tulane University
Melvin Newbern,1993,1993,G,6-4,200,"June 11, 1967",University of Minnesota
Melvin Sanders,2006,2006,G-F,6-5,210,"January 3, 1981","Seward County Community College, Oklahoma State University"
Melvin Turpin,1985,1990,C,6-11,240,"December 28, 1960",University of Kentucky
Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",
Metta World Peace,2000,2017,F,6-6,260,"November 13, 1979",St. John's University
Meyers Leonard,2013,2019,C-F,7-1,255,"February 27, 1992",University of Illinois at Urbana-Champaign
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama
Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State University
Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979","University of Kentucky, Villanova University"
Michael Brooks,1981,1988,F,6-7,220,"August 17, 1958",La Salle University
Michael Cage,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State University
Michael Carter-Williams,2014,2019,G,6-6,190,"October 10, 1991",Syracuse University
Michael Curry,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University
Michael Dickerson,1999,2003,G-F,6-5,190,"June 25, 1975",University of Arizona
Michael Doleac,1999,2008,C,6-11,262,"June 15, 1977",University of Utah
Michael Finley,1996,2010,G-F,6-7,215,"March 6, 1973",University of Wisconsin
Michael Gbinije,2017,2017,G,6-7,200,"June 5, 1992","Duke University, Syracuse University"
Michael Hawkins,1997,2001,G,6-0,178,"October 28, 1972",Xavier University
Michael Jackson,1988,1990,G,6-2,183,"July 13, 1964",Georgetown University
Michael Jordan*,1985,2003,G-F,6-6,195,"February 17, 1963",University of North Carolina
Michael Kidd-Gilchrist,2013,2019,F,6-7,232,"September 26, 1993",University of Kentucky
Michael McDonald,1998,1998,C,6-10,232,"February 13, 1969","Utah Valley State College, University of New Orleans"
Michael Olowokandi,1999,2007,C,7-0,269,"April 3, 1975",University of the Pacific
Michael Phelps,1986,1988,G,6-4,180,"October 3, 1961",Alcorn State University
Michael Redd,2001,2012,G,6-6,220,"August 24, 1979",Ohio State University
Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",University of Tulsa
Michael Smith,1995,2001,F,6-8,230,"March 28, 1972",Providence College
Michael Smith,1990,1995,F,6-10,225,"May 19, 1965",Brigham Young University
Michael Stewart,1998,2005,C,6-10,230,"April 25, 1975",University of California
Michael Wiley,1981,1982,F,6-9,200,"October 16, 1957","California State University, Long Beach"
Michael Wilson,1984,1987,G,6-4,175,"September 15, 1959",Marquette University
Michael Young,1985,1990,F-G,6-7,220,"January 2, 1961",University of Houston
Micheal Williams,1989,1999,G,6-2,175,"July 23, 1966",Baylor University
Mickael Gelabale,2007,2013,F,6-7,215,"May 22, 1983",
Mickael Pietrus,2004,2013,G-F,6-6,215,"February 7, 1982",
Mickell Gladness,2012,2012,C,6-11,220,"July 26, 1986",Alabama A&M University
Mickey Dillard,1982,1982,G,6-3,170,"October 15, 1958",Florida State University
Mikal Bridges,2019,2019,G,6-7,210,"August 30, 1996",Villanova University
Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University
Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona
Mike Brittain,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina
Mike Brown,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington University
Mike Champion,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga University
Mike Conley,2008,2019,G,6-1,175,"October 11, 1987",Ohio State University
Mike Davis,1983,1983,F,6-10,230,"August 2, 1956",University of Maryland
Mike Dunleavy,2003,2017,F-G,6-9,230,"September 15, 1980",Duke University
Mike Gibson,1984,1986,F,6-10,205,"October 27, 1960",University of South Carolina Upstate
Mike Gminski,1981,1994,C,6-11,250,"August 3, 1959",Duke University
Mike Hall,2007,2007,F,6-8,230,"June 5, 1984",George Washington University
Mike Harper,1981,1982,C-F,6-10,195,"December 9, 1957",North Park University
Mike Harris,2008,2014,F,6-6,240,"June 15, 1983",Rice University
Mike Higgins,1990,1991,F,6-9,220,"February 17, 1967",University of Northern Colorado
Mike Holton,1985,1990,G,6-4,185,"August 4, 1961","University of California, Los Angeles"
Mike Iuzzolino,1992,1993,G,5-10,175,"January 22, 1968","Pennsylvania State University, Saint Francis University"
Mike James,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University
Mike James,2018,2018,G,6-1,189,"August 18, 1990",Lamar University
Mike McGee,1982,1990,G-F,6-5,190,"July 29, 1959",University of Michigan
Mike Miller,2001,2017,F-G,6-8,218,"February 19, 1980",University of Florida
Mike Morrison,1990,1990,G,6-4,195,"August 16, 1967",Loyola College in Maryland
Mike Muscala,2014,2019,F-C,6-11,240,"July 1, 1991",Bucknell University
Mike Niles,1981,1981,F,6-6,225,"March 31, 1955","California State University, Fullerton"
Mike O'Koren,1981,1988,F-G,6-7,207,"February 7, 1958",University of North Carolina
Mike Penberthy,2001,2002,G,6-3,185,"November 29, 1974",Master's College
Mike Peplowski,1994,1996,C,6-10,270,"October 15, 1970",Michigan State University
Mike Sanders,1983,1993,F-G,6-6,210,"May 7, 1960","University of California, Los Angeles"
Mike Scott,2013,2019,F,6-8,237,"July 16, 1988",University of Virginia
Mike Smith,2001,2001,F,6-8,195,"April 15, 1976",University of Louisiana at Monroe
Mike Smrek,1986,1992,C,7-0,250,"August 31, 1962",Canisius College
Mike Sweetney,2004,2007,F,6-8,275,"October 25, 1982",Georgetown University
Mike Taylor,2009,2009,G,6-2,165,"January 21, 1986",Iowa State University
Mike Tobey,2017,2017,C,7-0,260,"October 10, 1994",University of Virginia
Mike Wilks,2003,2010,G,5-10,185,"May 7, 1979",Rice University
Mike Williams,1990,1990,F,6-8,255,"August 14, 1963","University of Cincinnati, Bradley University"
Mike Woodson,1981,1991,G-F,6-5,195,"March 24, 1958",Indiana University
Mikki Moore,1999,2012,C-F,6-11,225,"November 4, 1975",University of Nebraska
Mile Ilic,2007,2007,C,7-1,230,"June 2, 1984",
Miles Bridges,2019,2019,G-F,6-7,225,"March 21, 1998",Michigan State University
